claim_id,manuscript_location,claim,authoritative_artifact,locator,ownership,status,qualification
FIG-Fig5_Spatial_Error_Structure,Figure,R29; logarithmic x and symmetric-log y with linear region +/-10%. Isotropic: 8 directions; structured curves: registered constructions.,results/figure_data/paperb_spatial_families.csv,figures/Fig5_Spatial_Error_Structure.pdf,present figure / supporting inputs attributed,RC5_FIGURE_CONTENT_REVIEWED,Figure PDF unchanged. RC8 caption specifies eight isotropic fields versus individual structured constructions and unclipped inward/outward displacement. Geometry/source records: results/rc8/.
FIG-Fig6_Directional_and_Affine_Structure,Figure,All8 outcomes and descriptive ranges visible; R29 controlled rotation inside sampled range; official above8. G4 remainsFAIL.,results/figure_data/paperb_coherent_angles.csv; results/rc5/rotation_dispersion.csv,figures/Fig6_Directional_and_Affine_Structure.pdf,present figure / supporting inputs attributed,RC5_FIGURE_CONTENT_REVIEWED,Figure bytes unchanged; source hashes in figures/FIGURE_MANIFEST.json; current captions bound in provenance/rc8/BUILD_REVIEW.json.
FIG-Fig7_Reliability_Profile,Figure,"Perturbed rows pool 4 evaluations of each of 2,498 messages; 9,992 evaluations are not independent messages.",results/figure_data/paperb_tails.csv,figures/Fig7_Reliability_Profile.pdf,present figure / supporting inputs attributed,RC5_FIGURE_CONTENT_REVIEWED,Figure bytes unchanged; source hashes in figures/FIGURE_MANIFEST.json; current captions bound in provenance/rc8/BUILD_REVIEW.json.
FIG-FigS1_Matched_Exposure,Figure,ExactS displayed. Tolerance0.025; one directionfield/subset. Co-occurrence not independently isolated.,results/rc5/matched_exposure/subset_results.csv; results/figure_data/paperb_matched_exposure.csv,figures/FigS1_Matched_Exposure.pdf,present figure / supporting inputs attributed,RC5_FIGURE_CONTENT_REVIEWED,Figure bytes unchanged; source hashes in figures/FIGURE_MANIFEST.json; current captions bound in provenance/rc8/BUILD_REVIEW.json.
FIG-FigS2_Scale_Control,Figure,Legacy four-direction isotropic comparator; small tested scales only.,results/figure_data/paperb_affine.csv,figures/FigS2_Scale_Control.pdf,present figure / supporting inputs attributed,RC5_FIGURE_CONTENT_REVIEWED,Figure bytes unchanged; source hashes in figures/FIGURE_MANIFEST.json; current captions bound in provenance/rc8/BUILD_REVIEW.json.
FIG-FigS3_Two_Population,Figure,20-m background jitter + top-k 5-km corruption; 4 registered direction realizations. No general additivity theorem.,results/figure_data/paperb_twopop.csv,figures/FigS3_Two_Population.pdf,present figure / supporting inputs attributed,RC5_FIGURE_CONTENT_REVIEWED,Figure bytes unchanged; source hashes in figures/FIGURE_MANIFEST.json; current captions bound in provenance/rc8/BUILD_REVIEW.json.
INPUT-R29,III; X-A; S15.3,"Frozen recovered reference, incomplete original selection history",maps/recovered29.json; coordinate_provenance/README.md; results/base_logs/diffrepair_e2b_k14_dir8.txt,Block0 and source limitation,attributed input,DOCUMENTED,"Reproduce perturbations conditional on fixed map, not full historical selection or surveyed truth."
INPUT-JOIN,III; S15.1-2,Used identities and catalogue map reproducibility,coordinate_provenance/used_receiver_crosswalk.csv; coordinate_provenance/SOURCE_MANIFEST.json; coordinate_provenance/source_records/construction_summary.json; coordinate_provenance/sources/rebuild_join.py,"35 used identities,33 catalogue pairs",attributed source resource,LOCAL_SOURCE_CLOSED,Saved source-record checks and projection performed; raw CSV-JSON join not rerun this revision. Producer supplied.
INPUT-BS71,III; Table1; S15.4,Catalogue remoteness and named controls,coordinate_provenance/BS71_INPUT_CHECK.json; coordinate_provenance/bs71_input_distance_checks.csv; coordinate_provenance/bs71_selection_counts_by_roster.csv,Catalogue vs traffic; exact analysis populations,input description,DESCRIPTIVE_VERIFIED,"Not proof of physical error, typo or historical flagging rationale. Existing exclusion/substitution contrasts retained."
INPUT-O27,III; Table1; VI; IX; X-A; S1/S12/S15,Common27 has substituted BS71 held fixed,maps/official27_common.json; maps/recovered27_common.json; coordinate_provenance/MAP_PARENT_REGISTER.json; coordinate_provenance/INPUT_CONTINUITY_CHECKS.json,O27 from substituted O33 parent,frozen construction,CORRECTED_DESCRIPTION,Other26 coordinates catalogue-derived; not an unrepaired all-catalogue common27. Values and results unchanged.
ROTATION-REFIT-FROZEN,"Main VI-D, IX-B, X-F/G; S12.7 / Table S28",Six deterministic rotation refit-minus-frozen comparisons,author_remaining/rotation/a0_rotation_diagnostic.csv; author_remaining/rotation/a0_rotation_cases.json; results/rc8/rotation_refit_frozen.csv,all six pairs,existing author scalar results,SCALAR_CONSISTENCY_CHECKED,No original frozen-arm message arrays; no new localization; G4 FAIL.
RADIAL-OPERATOR,"Main IV-D, VII-C; Fig5; S6",Unclipped inward/outward displacement about evaluation-transmitter mean,code/baseline_001_e123_pairfallback_040926.py; results/rc8/radial_reference_radii.csv; results/rc8/radial_geometry_check.csv; results/rc8/bounded_check_sources.json,build function and all six magnitudes,operator description / geometry-only derivative,DOCUMENTED,Crossing D>r is not radius increase D>2r. Centroid-coincident receiver unchanged; not an operational truth-free rule.
COUNT-LABELS,S2 / Tables S4-S7,Exact counts replace rounded corrupted percentages,results/rc8/corrupted_count_labels.csv,"1,3,7,14,21,29 of 29",display labels,CORRECTED_LABELS,All method-value cells unchanged.
MEDIAN-ORDER,Main VI-F; S13.1,R29 primary approx 1099 m vs direction-first T=1411.92 m,results/rc5/retained_condition_ranges.csv; author_remaining/g6_spatial_results.csv,named aggregation orders,existing outputs,SPECIFIED,No new bootstrap; unlike estimands not forced equal.
