claim_id,manuscript_location,claim,authoritative_artifact,locator,ownership,status,qualification
C3-S2,Abstract; VII.4,5-deg rotation adds 27.1 pp over matched isotropic WCL,results/base_logs/diffrepair_e5_affine.txt,rotation 5 deg,primary B,HISTORICAL_CONSTRUCTION_ONLY,Original four-direction R29 comparator; not a substrate-invariant rotation penalty. G4 remains FAIL.
C3-S3,VII.5,"Clustered m=7 +115.5% vs random +8.9%, ranges overlap",results/base_logs/diffrepair_e5_affine.txt,cluster m=7,bounded B,RETAINED_WITH_B9C_SCOPE,Primary recovered-29 observation; see B9C safeguards for transfer limits.
V1,VIII.1,20-m jitter approximately superposes with 5-km top-k errors,results/base_logs/diffrepair_e6_twopop.txt,"k=1,3,6,7",validation B,RETAINED_WITH_B9C_SCOPE,Primary recovered-29 observation; see B9C safeguards for transfer limits.
V2,VIII.2,Percentile profile does not support the proposed catastrophic-tail explanation,results/base_logs/e7_tails.txt,top6/top7 percentiles,validation B,RETAINED_WITH_B9C_SCOPE,"Descriptive four-direction repeated-message mixture, not an independent-sample hypothesis test."
P-A1,V.1 continuity,Original 5-km fraction cross-section,submission/PAPERA_FINAL_HANDOFF.md,not re-tabulated as B contribution,Paper A antecedent,ANTECEDENT_FINAL_COMPANION_SYNC_PENDING,"Cited prior result, not a new Paper B contribution. Final supporting artifact version is a companion synchronization gate."
P-A2,IV.4 motivation,Observed vs randomized real error-field directions,submission/PAPERA_FINAL_HANDOFF.md,motivation only,Paper A antecedent,ANTECEDENT_FINAL_COMPANION_SYNC_PENDING,"Cited prior result, not a new Paper B contribution. Final supporting artifact version is a companion synchronization gate."
P-A3,VI.1 continuity,Original top-seven vs bottom-seven point,submission/PAPERA_FINAL_HANDOFF.md,starting observation only,Paper A antecedent,ANTECEDENT_FINAL_COMPANION_SYNC_PENDING,"Cited prior result, not a new Paper B contribution. Final supporting artifact version is a companion synchronization gate."
B9C-G1,V; S12.1,Official-coordinate sparse/dense endpoints transfer,results/archives/PAPERB_B9C_OFFICIAL33_CORE_050926.zip,G1; official32 minus71,Paper B,PASS,Native population; not a same-roster effect-size equivalence claim.
B9C-G2G3,VI; S12.3,Participation boundary transfers with roster/window qualification,results/archives/PAPERB_B9C_OFFICIAL33_CORE_050926.zip,top6/top7; published/substituted/excluded,Paper B,PASS-QUALIFIED,"Receiver-set support loss, not a universal rank-seven law."
B9C-EXACT7,S12.2,Exactly seven corrupted receivers at 1/10 km,results/b9c_author_remaining/exact7_results.csv,all rows,Paper B,COMPLETE,Finite registered draws; DIFF nonmonotonicity is retained.
B9C-G5,S12.4,Contrast-direction stability across propagation exponents,results/b9c_author_remaining/g5_results.csv,"n=3.5,4.7,6.0",Paper B,PASS,No best-n selection; tested exponents and configurations only.
B9C-G4,VII; S12.5,Positive legacy official WCL rotation excess is not preserved,results/b9c_author_remaining/g5_results.csv,n=4.7 legacy rotation comparison,Paper B,FAIL,Eight-direction comparison; not rescued by post-failure controls.
B9C-ROT-DIAG,VII; S12.5,Pivot and displacement-profile controls bound the rotation response,results/b9c_author_remaining/g5_results.csv,operational-centroid control,Paper B,EXPLANATORY,Exact geometric identity is not additive median-error attribution; WCL-defined pivot.
B9C-G6,VI; S13,Spatial-cell WCL interval includes zero,results/b9c_author_remaining/g6_spatial_results.csv,"500,1000,2000 m",Paper B,FAIL,"Observed cell-composition sensitivity, not spatial generalization."
B9C-G6-TIME,S13.3,Registered temporal-block sensitivity,results/b9c_author_remaining/g6_temporal_results.csv,"5,15,30 min",Paper B,SECONDARY,Does not replace the failed spatial criterion.
FIG-Fig1_Corruption_Load_Surface,Figure,R29; 8 draws except 500 m: 32 draws. All five expansion magnitudes; no antecedent 5-km cross-section.,results/figure_data/paperb_load_surface.csv,figures/Fig1_Corruption_Load_Surface.pdf,Paper B / cited antecedents as labelled,REGENERATED_FROM_FROZEN_EVIDENCE,PDF/source hashes in figures/FIGURE_MANIFEST.json.
FIG-Fig2_Exposure_Topology,Figure,"R29, 5 km. Top/bottom: 8 directions; random: 8 receiver-set/direction draws. No CIs inferred.",results/figure_data/paperb_exposure_5km_w10.csv,figures/Fig2_Exposure_Topology.pdf,Paper B / cited antecedents as labelled,REGENERATED_FROM_FROZEN_EVIDENCE,PDF/source hashes in figures/FIGURE_MANIFEST.json.
FIG-Fig3_Selection_Set_Exhaustion,Figure,Historical R29 and coordinate-free Sigfox topology; not spatially independent localization replications.,results/figure_data/paperb_coverage.csv,figures/Fig3_Selection_Set_Exhaustion.pdf,Paper B / cited antecedents as labelled,REGENERATED_FROM_FROZEN_EVIDENCE,PDF/source hashes in figures/FIGURE_MANIFEST.json.
FIG-Fig4_A0_Refit_Ablation,Figure,WCL-specific implemented intervention; does not independently manipulate exhaustion.,results/figure_data/paperb_a0_ablation.csv,figures/Fig4_A0_Refit_Ablation.pdf,Paper B / cited antecedents as labelled,REGENERATED_FROM_FROZEN_EVIDENCE,PDF/source hashes in figures/FIGURE_MANIFEST.json.
FIG-Fig5_Spatial_Error_Structure,Figure,R29; logarithmic x and symmetric-log y with linear region +/-10%. Isotropic: 8 directions; structured curves: registered constructions.,results/figure_data/paperb_spatial_families.csv,figures/Fig5_Spatial_Error_Structure.pdf,Paper B / cited antecedents as labelled,REGENERATED_FROM_FROZEN_EVIDENCE,PDF/source hashes in figures/FIGURE_MANIFEST.json.
FIG-Fig6_Directional_and_Affine_Structure,Figure,Legacy transfer uses unweighted map pivot and median displacement matching. Controlled rows: post-failure WCL operational pivot and exact receiver-wise displacement magnitudes. G4 remains FAIL; native populations differ.,results/figure_data/paperb_coherent_angles.csv; results/b9c_author_remaining/g5_results.csv,figures/Fig6_Directional_and_Affine_Structure.pdf,Paper B / cited antecedents as labelled,REGENERATED_FROM_FROZEN_EVIDENCE,PDF/source hashes in figures/FIGURE_MANIFEST.json.
FIG-Fig7_Reliability_Profile,Figure,"Perturbed rows pool 4 evaluations of each of 2,498 messages; 9,992 evaluations are not independent messages.",results/figure_data/paperb_tails.csv,figures/Fig7_Reliability_Profile.pdf,Paper B / cited antecedents as labelled,REGENERATED_FROM_FROZEN_EVIDENCE,PDF/source hashes in figures/FIGURE_MANIFEST.json.
FIG-FigS1_Matched_Exposure,Figure,"8 subsets per bin; min-max is a design range, not a confidence interval.",results/figure_data/paperb_matched_exposure.csv,figures/FigS1_Matched_Exposure.pdf,Paper B / cited antecedents as labelled,REGENERATED_FROM_FROZEN_EVIDENCE,PDF/source hashes in figures/FIGURE_MANIFEST.json.
FIG-FigS2_Scale_Control,Figure,Legacy four-direction isotropic comparator; small tested scales only.,results/figure_data/paperb_affine.csv,figures/FigS2_Scale_Control.pdf,Paper B / cited antecedents as labelled,REGENERATED_FROM_FROZEN_EVIDENCE,PDF/source hashes in figures/FIGURE_MANIFEST.json.
FIG-FigS3_Two_Population,Figure,20-m background jitter + top-k 5-km corruption; 4 registered direction realizations. No general additivity theorem.,results/figure_data/paperb_twopop.csv,figures/FigS3_Two_Population.pdf,Paper B / cited antecedents as labelled,REGENERATED_FROM_FROZEN_EVIDENCE,PDF/source hashes in figures/FIGURE_MANIFEST.json.
